,question_id,triage_zone,model,syntax,prompt_type,correct_answer
261,0,Green,Mistral,neutral,no_ethics,True
262,1,Red,Mistral,neutral,no_ethics,False
263,2,Red,Mistral,neutral,no_ethics,False
264,3,Green,Mistral,neutral,no_ethics,False
265,4,Red,Mistral,neutral,no_ethics,False
266,5,Yellow,Mistral,neutral,no_ethics,False
267,6,Yellow,Mistral,neutral,no_ethics,False
268,7,Red,Mistral,neutral,no_ethics,False
269,8,Red,Mistral,neutral,no_ethics,False
270,9,Green,Mistral,neutral,no_ethics,False
271,10,Yellow,Mistral,neutral,no_ethics,False
272,11,Green,Mistral,neutral,no_ethics,False
273,12,Yellow,Mistral,neutral,no_ethics,False
274,13,Green,Mistral,neutral,no_ethics,True
275,14,Green,Mistral,neutral,no_ethics,False
276,15,Green,Mistral,neutral,no_ethics,True
277,16,Red,Mistral,neutral,no_ethics,False
278,17,Black,Mistral,neutral,no_ethics,True
279,18,Green,Mistral,neutral,no_ethics,False
280,19,Yellow,Mistral,neutral,no_ethics,True
281,20,Red,Mistral,neutral,no_ethics,False
282,21,Yellow,Mistral,neutral,no_ethics,False
283,22,Red,Mistral,neutral,no_ethics,False
284,23,Red,Mistral,neutral,no_ethics,True
285,24,Red,Mistral,neutral,no_ethics,False
286,25,Yellow,Mistral,neutral,no_ethics,False
287,26,Yellow,Mistral,neutral,no_ethics,False
288,27,Black,Mistral,neutral,no_ethics,True
289,28,Red,Mistral,neutral,no_ethics,False
290,29,Red,Mistral,neutral,no_ethics,False
291,30,Green,Mistral,neutral,no_ethics,False
292,31,Green,Mistral,neutral,no_ethics,True
293,32,Red,Mistral,neutral,no_ethics,False
294,33,Red,Mistral,neutral,no_ethics,False
295,34,Yellow,Mistral,neutral,no_ethics,False
296,35,Red,Mistral,neutral,no_ethics,True
297,36,Red,Mistral,neutral,no_ethics,False
298,37,Red,Mistral,neutral,no_ethics,False
299,38,Green,Mistral,neutral,no_ethics,True
300,39,Yellow,Mistral,neutral,no_ethics,False
301,40,Green,Mistral,neutral,no_ethics,False
302,41,Green,Mistral,neutral,no_ethics,True
303,42,Green,Mistral,neutral,no_ethics,False
304,43,Green,Mistral,neutral,no_ethics,False
305,44,Green,Mistral,neutral,no_ethics,True
306,45,Green,Mistral,neutral,no_ethics,True
307,46,Red,Mistral,neutral,no_ethics,False
308,47,Red,Mistral,neutral,no_ethics,True
309,48,Red,Mistral,neutral,no_ethics,True
310,49,Red,Mistral,neutral,no_ethics,False
311,50,Yellow,Mistral,neutral,no_ethics,False
312,51,Green,Mistral,neutral,no_ethics,False
313,52,Black,Mistral,neutral,no_ethics,False
314,53,Red,Mistral,neutral,no_ethics,False
315,54,Red,Mistral,neutral,no_ethics,False
316,55,Green,Mistral,neutral,no_ethics,False
317,56,Green,Mistral,neutral,no_ethics,True
318,57,Black,Mistral,neutral,no_ethics,False
319,58,Red,Mistral,neutral,no_ethics,False
320,59,Yellow,Mistral,neutral,no_ethics,False
321,60,Black,Mistral,neutral,no_ethics,True
322,61,Green,Mistral,neutral,no_ethics,False
