,question_id,model,syntax,prompt_type,correct_answer
261,0,mistral,neutral,no_ethics,True
262,1,mistral,neutral,no_ethics,False
263,2,mistral,neutral,no_ethics,True
264,3,mistral,neutral,no_ethics,False
265,4,mistral,neutral,no_ethics,False
266,5,mistral,neutral,no_ethics,False
267,6,mistral,neutral,no_ethics,True
268,7,mistral,neutral,no_ethics,True
269,8,mistral,neutral,no_ethics,True
270,9,mistral,neutral,no_ethics,True
271,10,mistral,neutral,no_ethics,True
272,11,mistral,neutral,no_ethics,True
273,12,mistral,neutral,no_ethics,True
274,13,mistral,neutral,no_ethics,False
275,14,mistral,neutral,no_ethics,False
276,15,mistral,neutral,no_ethics,True
277,16,mistral,neutral,no_ethics,True
278,17,mistral,neutral,no_ethics,False
279,18,mistral,neutral,no_ethics,False
280,19,mistral,neutral,no_ethics,True
281,20,mistral,neutral,no_ethics,True
282,21,mistral,neutral,no_ethics,True
283,22,mistral,neutral,no_ethics,False
284,23,mistral,neutral,no_ethics,True
285,24,mistral,neutral,no_ethics,True
286,25,mistral,neutral,no_ethics,False
287,26,mistral,neutral,no_ethics,False
288,27,mistral,neutral,no_ethics,True
289,28,mistral,neutral,no_ethics,False
290,29,mistral,neutral,no_ethics,False
291,30,mistral,neutral,no_ethics,True
292,31,mistral,neutral,no_ethics,True
293,32,mistral,neutral,no_ethics,False
294,33,mistral,neutral,no_ethics,False
295,34,mistral,neutral,no_ethics,True
296,35,mistral,neutral,no_ethics,True
297,36,mistral,neutral,no_ethics,False
298,37,mistral,neutral,no_ethics,True
299,38,mistral,neutral,no_ethics,True
300,39,mistral,neutral,no_ethics,False
301,40,mistral,neutral,no_ethics,True
302,41,mistral,neutral,no_ethics,False
303,42,mistral,neutral,no_ethics,True
304,43,mistral,neutral,no_ethics,False
305,44,mistral,neutral,no_ethics,True
306,45,mistral,neutral,no_ethics,True
307,46,mistral,neutral,no_ethics,False
308,47,mistral,neutral,no_ethics,True
309,48,mistral,neutral,no_ethics,True
310,49,mistral,neutral,no_ethics,False
311,50,mistral,neutral,no_ethics,False
312,51,mistral,neutral,no_ethics,True
313,52,mistral,neutral,no_ethics,False
314,53,mistral,neutral,no_ethics,False
315,54,mistral,neutral,no_ethics,False
316,55,mistral,neutral,no_ethics,True
317,56,mistral,neutral,no_ethics,True
318,57,mistral,neutral,no_ethics,False
319,58,mistral,neutral,no_ethics,True
320,59,mistral,neutral,no_ethics,True
321,60,mistral,neutral,no_ethics,True
322,61,mistral,neutral,no_ethics,True
323,62,mistral,neutral,no_ethics,True
324,63,mistral,neutral,no_ethics,False
325,64,mistral,neutral,no_ethics,True
326,65,mistral,neutral,no_ethics,True
327,66,mistral,neutral,no_ethics,False
328,67,mistral,neutral,no_ethics,True
329,68,mistral,neutral,no_ethics,True
330,69,mistral,neutral,no_ethics,False
331,70,mistral,neutral,no_ethics,False
332,71,mistral,neutral,no_ethics,True
333,72,mistral,neutral,no_ethics,False
334,73,mistral,neutral,no_ethics,False
335,74,mistral,neutral,no_ethics,True
336,75,mistral,neutral,no_ethics,False
337,76,mistral,neutral,no_ethics,True
338,77,mistral,neutral,no_ethics,True
339,78,mistral,neutral,no_ethics,False
340,79,mistral,neutral,no_ethics,True
341,80,mistral,neutral,no_ethics,True
342,81,mistral,neutral,no_ethics,True
343,82,mistral,neutral,no_ethics,False
344,83,mistral,neutral,no_ethics,True
345,84,mistral,neutral,no_ethics,True
346,85,mistral,neutral,no_ethics,False
347,86,mistral,neutral,no_ethics,True
348,0,mistral,neutral,utilitarianism,True
349,1,mistral,neutral,utilitarianism,False
350,2,mistral,neutral,utilitarianism,True
351,3,mistral,neutral,utilitarianism,False
352,4,mistral,neutral,utilitarianism,True
353,5,mistral,neutral,utilitarianism,False
354,6,mistral,neutral,utilitarianism,True
355,7,mistral,neutral,utilitarianism,True
356,8,mistral,neutral,utilitarianism,True
357,9,mistral,neutral,utilitarianism,True
358,10,mistral,neutral,utilitarianism,False
359,11,mistral,neutral,utilitarianism,True
360,12,mistral,neutral,utilitarianism,True
361,13,mistral,neutral,utilitarianism,False
362,14,mistral,neutral,utilitarianism,True
363,15,mistral,neutral,utilitarianism,True
364,16,mistral,neutral,utilitarianism,True
365,17,mistral,neutral,utilitarianism,True
366,18,mistral,neutral,utilitarianism,False
367,19,mistral,neutral,utilitarianism,True
368,20,mistral,neutral,utilitarianism,False
369,21,mistral,neutral,utilitarianism,False
370,22,mistral,neutral,utilitarianism,True
371,23,mistral,neutral,utilitarianism,True
372,24,mistral,neutral,utilitarianism,True
373,25,mistral,neutral,utilitarianism,True
374,26,mistral,neutral,utilitarianism,True
375,27,mistral,neutral,utilitarianism,True
376,28,mistral,neutral,utilitarianism,False
377,29,mistral,neutral,utilitarianism,False
378,30,mistral,neutral,utilitarianism,True
379,31,mistral,neutral,utilitarianism,False
380,32,mistral,neutral,utilitarianism,False
381,33,mistral,neutral,utilitarianism,True
382,34,mistral,neutral,utilitarianism,True
383,35,mistral,neutral,utilitarianism,True
384,36,mistral,neutral,utilitarianism,False
385,37,mistral,neutral,utilitarianism,True
386,38,mistral,neutral,utilitarianism,False
387,39,mistral,neutral,utilitarianism,False
388,40,mistral,neutral,utilitarianism,True
389,41,mistral,neutral,utilitarianism,False
390,42,mistral,neutral,utilitarianism,False
391,43,mistral,neutral,utilitarianism,False
392,44,mistral,neutral,utilitarianism,True
393,45,mistral,neutral,utilitarianism,True
394,46,mistral,neutral,utilitarianism,False
395,47,mistral,neutral,utilitarianism,True
396,48,mistral,neutral,utilitarianism,False
397,49,mistral,neutral,utilitarianism,False
398,50,mistral,neutral,utilitarianism,False
399,51,mistral,neutral,utilitarianism,True
400,52,mistral,neutral,utilitarianism,True
401,53,mistral,neutral,utilitarianism,True
402,54,mistral,neutral,utilitarianism,False
403,55,mistral,neutral,utilitarianism,True
404,56,mistral,neutral,utilitarianism,False
405,57,mistral,neutral,utilitarianism,False
406,58,mistral,neutral,utilitarianism,False
407,59,mistral,neutral,utilitarianism,True
408,60,mistral,neutral,utilitarianism,True
409,61,mistral,neutral,utilitarianism,False
410,62,mistral,neutral,utilitarianism,True
411,63,mistral,neutral,utilitarianism,False
412,64,mistral,neutral,utilitarianism,True
413,65,mistral,neutral,utilitarianism,False
